"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2026","0.38020000","0.38020000","0.38020000","0.38020000","","0.00%"
"12/31/2025","0.38020000","0.38060001","0.38075000","0.37979999","","-0.13%"
"12/30/2025","0.38069999","0.38040000","0.38104999","0.38014999","","0.08%"
"12/29/2025","0.38040000","0.38034999","0.38069999","0.38000000","","0.03%"
"12/26/2025","0.38029999","0.38040000","0.38075000","0.37985000","","-0.04%"
"12/25/2025","0.38045001","0.38029999","0.38080001","0.37990001","","0.14%"
"12/24/2025","0.37990001","0.37959999","0.38034999","0.37944999","","0.04%"
"12/23/2025","0.37975001","0.37970001","0.37990001","0.37940001","","0.04%"
"12/22/2025","0.37959999","0.37994999","0.38029999","0.37924999","","-0.11%"
"12/19/2025","0.38000000","0.37970001","0.38034999","0.37950000","","0.05%"
"12/18/2025","0.37979999","0.37970001","0.38005000","0.37944999","","0.03%"
"12/17/2025","0.37970001","0.37955001","0.38010001","0.37915000","","0.05%"
"12/16/2025","0.37950000","0.37985000","0.38045001","0.37930000","","-0.11%"
"12/15/2025","0.37990001","0.38060001","0.38060001","0.37970001","","-0.04%"
"12/12/2025","0.38005000","0.37994999","0.38060001","0.37915000","","0.07%"
"12/11/2025","0.37979999","0.37940001","0.37994999","0.37915000","","0.12%"
"12/10/2025","0.37935001","0.37915000","0.37944999","0.37915000","","0.05%"
"12/09/2025","0.37915000","0.37930000","0.37950000","0.37900001","","-0.04%"
"12/08/2025","0.37930000","0.37935001","0.37975001","0.37895000","","0.00%"
"12/05/2025","0.37930000","0.37904999","0.37950000","0.37885001","","0.05%"
"12/04/2025","0.37909999","0.37924999","0.37944999","0.37885001","","0.00%"
"12/03/2025","0.37909999","0.37904999","0.37985000","0.37880000","","0.00%"
"12/02/2025","0.37909999","0.37920001","0.37950000","0.37880000","","-0.01%"
"12/01/2025","0.37915000","0.37935001","0.37985000","0.37889999","","-0.01%"
"11/28/2025","0.37920001","0.37915000","0.37955001","0.37885001","","0.04%"
