model,p,q,converged,eligible_for_selection,fit_status,error,loglik,AIC,BIC,HQIC,num_params,LB_resid_adj_p_lag10,LB_resid_adj_p_lag20,LB_resid_adj_p_lag30,diagnostic_pass,ARCH_LM_p_lag10
"ARMA(4,5)",4,5,True,True,ok,,349.2604585902969,-676.5209171805938,-610.3996600095429,-652.7429098370803,11,0.0719358636828657,0.058441486879147526,0.19783799866714322,True,0.0017345166108779981
"ARMA(2,3)",2,3,True,True,ok,,339.0023511818169,-664.0047023636338,-621.9275387093287,-648.8732431450344,7,0.15593910685003257,0.0262773314859684,0.15909828435383647,False,0.0017850799592909884
"ARMA(3,2)",3,2,True,True,ok,,338.49585534587766,-662.9917106917553,-620.9145470374502,-647.8602514731558,7,0.08753579603128338,0.02166015439879101,0.14769494939082453,False,0.0021842598007792554
"ARMA(3,3)",3,3,True,True,ok,,339.1619573936956,-662.3239147873912,-614.2357277538997,-645.0308185375633,8,0.0789986690777874,0.0172445398705602,0.12319107056546726,False,0.0018088932398628971
"ARMA(2,4)",2,4,True,True,ok,,339.1220444841782,-662.2440889683564,-614.1559019348649,-644.9509927185285,8,0.07998703234453834,0.01692610283929543,0.12179452211698903,False,0.0017933335096199895
"ARMA(4,2)",4,2,True,True,ok,,339.04069101171206,-662.0813820234241,-613.9931949899326,-644.7882857735962,8,0.06577769715325861,0.015330538297170673,0.11263304537230792,False,0.001846018940336537
"ARMA(5,4)",5,4,True,True,ok,,349.5249829279771,-677.0499658559542,-610.9287086849033,-653.2719585124407,11,0.027396085145648185,0.06188275273849887,0.2309817564722271,False,0.0023869331612854186
"ARMA(2,5)",2,5,True,True,ok,,339.992021092848,-661.984042185696,-607.884831773018,-642.5293089046396,9,0.11125670241417482,0.031342681141569545,0.20878733678696856,False,0.0020483854040193985
"ARMA(4,3)",4,3,True,True,ok,,339.41738091401646,-660.8347618280329,-606.735551415355,-641.3800285469765,9,0.03170748506047013,0.013235656177367381,0.11978896285142059,False,0.002151026453798678
"ARMA(3,4)",3,4,True,True,ok,,339.23477089493247,-660.4695417898649,-606.370331377187,-641.0148085088085,9,0.048972089870640514,0.013037355065287151,0.11046351457984857,False,0.0018444375805130564
"ARMA(4,0)",4,0,True,True,ok,,324.29935717872405,-636.5987143574481,-600.5325740823295,-623.6288921700772,6,0.0026031380247936147,3.917709490957433e-05,0.0016940973881725747,False,0.0006862404619938171
"ARMA(2,1)",2,1,True,True,ok,,320.15745507737273,-630.3149101547455,-600.2597932588133,-619.506724998603,5,8.73552678024131e-05,1.2347304010383205e-06,0.00010112697368314941,False,0.0005073348002838517
"ARMA(3,5)",3,5,True,True,ok,,339.81373449286116,-659.6274689857223,-599.5172351938579,-638.0110986734373,10,0.030631709476675005,0.015056436173391946,0.13143279762282245,False,0.0019177032117534785
"ARMA(5,3)",5,3,True,True,ok,,339.4800460601932,-658.9600921203864,-598.849858328522,-637.3437218081015,10,0.01538862927188082,0.009307086775534783,0.10782431597474142,False,0.0019571139021605085
"ARMA(2,2)",2,2,True,True,ok,,322.8208308323566,-633.6416616647132,-597.5755213895945,-620.6718394773422,6,0.0006163166000231731,1.9115202846356956e-05,0.000940544166177499,False,0.0016643293820227487
"ARMA(4,4)",4,4,True,True,ok,,338.65140801457517,-657.3028160291503,-597.1925822372859,-635.6864457168654,10,0.003548396627334283,0.003289765557131521,0.0401678103971967,False,0.0012787240756637133
"ARMA(5,0)",5,0,True,True,ok,,325.22088873190165,-636.4417774638033,-594.3646138094982,-621.3103182452039,7,0.002633603299093246,5.928410991326291e-05,0.0025203817029009505,False,0.0009322020523050441
"ARMA(4,1)",4,1,True,True,ok,,325.1970954408042,-636.3941908816084,-594.3170272273034,-621.2627316630089,7,0.002742685885482172,6.213596003356465e-05,0.0026251617546066463,False,0.0008979414384258172
"ARMA(0,4)",0,4,True,True,ok,,321.10238635435223,-630.2047727087045,-594.1386324335858,-617.2349505213335,6,8.583591511966274e-05,1.1031113569528333e-06,9.78751926063111e-05,False,0.0005194967834856153
"ARMA(3,1)",3,1,True,True,ok,,320.9334408791615,-629.866881758323,-593.8007414832043,-616.897059570952,6,0.00010907252922926122,1.8103002302466277e-06,0.00015281914916141838,False,0.0006740049073961323
"ARMA(0,1)",0,1,True,True,ok,,308.3542121267982,-610.7084242535964,-592.675354116037,-604.2235131599109,3,2.724316079131449e-09,2.3675969272684356e-11,5.8875302321130625e-09,False,0.0002777470953681179
"ARMA(1,2)",1,2,True,True,ok,,316.1054654225567,-622.2109308451134,-592.1558139491812,-611.4027456889709,5,4.1081303811996614e-07,8.388722429753423e-09,1.4151144756747012e-06,False,0.00038556516254457024
"ARMA(2,0)",2,0,True,True,ok,,311.37213217677163,-614.7442643535433,-590.7001708367975,-606.0977162286293,4,6.464499407073914e-09,4.746115369020309e-11,1.3142762056213887e-08,False,0.00023916924963589799
"ARMA(5,5)",5,5,True,True,ok,,343.3228778232541,-662.6457556465082,-590.5134750962709,-636.7061112717663,12,,0.0022393137320664575,0.018752360595838378,False,0.0014990765681419656
"ARMA(3,0)",3,0,True,True,ok,,314.94895708837646,-619.8979141767529,-589.8427972808207,-609.0897290206104,5,2.6037466368428496e-07,2.059538979588656e-09,4.3736180752667856e-07,False,0.0003243193141280946
"ARMA(0,5)",0,5,True,True,ok,,322.5643346138822,-631.1286692277644,-589.0515055734593,-615.997210009165,7,0.00019842615777898934,4.3247491334255135e-06,0.0003245717069038104,False,0.0006633359182940135
"ARMA(1,4)",1,4,True,True,ok,,322.45015415474575,-630.9003083094915,-588.8231446551864,-615.768849090892,7,0.00017096505709386607,4.099828463290553e-06,0.000311285803969441,False,0.0006466401303356398
"ARMA(1,3)",1,3,True,True,ok,,318.2632372650545,-624.526474530109,-588.4603342549904,-611.5566523427381,6,3.470716958994762e-06,6.940097709398055e-08,9.97117472742342e-06,False,0.0004952294554964775
"ARMA(5,1)",5,1,True,True,ok,,325.3147287011666,-634.6294574023332,-586.5412703688417,-617.3363611525052,8,0.0012213897736465238,3.6439476177549785e-05,0.0018931455194190745,False,0.0009606251621684915
"ARMA(0,2)",0,2,True,True,ok,,309.2677329718175,-610.535465943635,-586.4913724268893,-601.8889178187211,4,6.96424793510498e-10,6.162448936741285e-12,2.005195386112364e-09,False,0.0002669599067229108
"ARMA(1,1)",1,1,True,True,ok,,309.0146435625022,-610.0292871250044,-585.9851936082587,-601.3827390000905,4,7.495809540335856e-10,7.086818696660304e-12,2.2541498311828455e-09,False,0.0002680470829486746
"ARMA(1,0)",1,0,True,True,ok,,302.9793531942322,-599.9587063884644,-581.9256362509051,-593.4737952947789,3,2.7914223577465974e-11,3.198002558362261e-13,1.1549718768362835e-10,False,0.0003967444922777567
"ARMA(1,5)",1,5,True,True,ok,,322.6956281281564,-629.3912562563128,-581.3030692228213,-612.0981600064848,8,8.591961431910814e-05,2.815669532035063e-06,0.0002538094835349957,False,0.000689363616001861
"ARMA(5,2)",5,2,True,True,ok,,325.1973109367059,-632.3946218734118,-578.2954114607338,-612.9398885923554,9,0.0004058088495644343,1.680785002092655e-05,0.001151967521498598,False,0.0009063471503530507
"ARMA(0,3)",0,3,False,False,optimizer_not_converged,"{'fopt': np.float64(-0.10347220104039012), 'gopt': array([ 1.21507022e-04,  4.16314622e-06, -3.36984607e-05,  2.79049478e-05,
        1.47193265e-04]), 'fcalls': 306, 'warnflag': 2, 'converged': False, 'iterations': 11}",311.8652139357358,-613.7304278714716,-583.6753109755394,-602.9222427153292,5,,,,False,
"ARMA(0,0)",0,0,False,False,optimizer_not_converged,"{'fopt': np.float64(-0.08366660287644995), 'gopt': array([0.00010095, 0.00020189]), 'fcalls': 60, 'warnflag': 2, 'converged': False, 'iterations': 0}",252.1711410696201,-500.3422821392402,-488.3202353808673,-496.0190080767832,2,,,,False,
