model,feature,mean,std
EGARCH-X signed lag1-t,vix_change_lag1,-0.0008991373589913755,1.9063013121087038
EGARCH-X signed lag1-t,us10y_change_lag1,-0.0007730590577305894,0.048815766121500376
EGARCH-X signed lag1-t,dxy_return_lag1,0.007079320267525351,0.43860693846527854
EGARCH-X signed lag1-t,oil_change_lag1,-0.0015560716655607183,1.917348278234223
EGARCH-X signed lag1-t,vnindex_return_lag1,0.03502599386256232,1.158268897653455
EGARCH-X abs lag1-t,vix_change_lag1,-0.0008991373589913755,1.9063013121087038
EGARCH-X abs lag1-t,us10y_change_lag1,-0.0007730590577305894,0.048815766121500376
EGARCH-X abs lag1-t,dxy_return_lag1,0.007079320267525351,0.43860693846527854
EGARCH-X abs lag1-t,oil_change_lag1,-0.0015560716655607183,1.917348278234223
EGARCH-X abs lag1-t,vnindex_return_lag1,0.03502599386256232,1.158268897653455
