model,parameter,estimate,role
EGARCH-X abs lag1-t,alpha,0.4670255794425213,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,beta,0.9565881700368893,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,delta_dxy_return_lag1,0.044000415705751784,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,delta_oil_change_lag1,0.017954361388589545,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,delta_us10y_change_lag1,0.013987117534293625,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,delta_vix_change_lag1,-0.019868865834319606,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,delta_vnindex_return_lag1,0.04965446426390979,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,gamma,-0.029357604088428475,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,nu,2.6885301646146886,supplementary_comparator_not_locked_baseline
EGARCH-X abs lag1-t,omega,-0.15280820027805536,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,alpha,0.3917534080846441,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,beta,0.9762679527699467,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,delta_dxy_return_lag1,0.04554773983259812,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,delta_oil_change_lag1,-0.05344169113214842,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,delta_us10y_change_lag1,-0.012236951503564823,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,delta_vix_change_lag1,0.034185550908505384,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,delta_vnindex_return_lag1,0.006639279752537955,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,gamma,-0.006687263831928544,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,nu,2.659418184681481,supplementary_comparator_not_locked_baseline
EGARCH-X signed lag1-t,omega,-0.01009267424971395,supplementary_comparator_not_locked_baseline
