model,requested_target,estimated_target,target_transformation,shock,lag,test_statistic,p_value,significant_5pct,error
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,1,1.3336261418679727,0.248224843629802,False,
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,1,10.503247144613741,0.0012006627705188216,True,
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,1,6.7925267792459625,0.009185373672006454,True,
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,1,0.49228034323924225,0.48294954566441156,False,
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,1,4.121937021147243,0.04239156112480488,True,
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vix_change,1,2.2361753859490694,0.13488691374964362,False,
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,us10y_change,1,0.43007085112236837,0.5119890114299864,False,
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,dxy_return,1,0.6364114283861033,0.42505699190857693,False,
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,oil_change,1,2.288871058539277,0.13037761869935652,False,
weekly_recursive_svar_shocks_to_log_selected_cond_vol,log_selected_cond_vol,log_selected_cond_vol,weekly_log_volatility_level,vnindex_return,1,0.1307201734346729,0.7177041367305045,False,
