model,requested_target,estimated_target,target_transformation,shock,horizon_weeks,orthogonalized_irf
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,0,0.06767546561935477
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,0,0.03750903074681725
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,0,-0.004800884762716994
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,0,-0.035865031164213045
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,0,-0.11828076164430947
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,1,0.051202020232976674
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,1,0.13850984442308673
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,1,0.10582799925892789
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,1,-0.03088745968340513
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,1,-0.06612276435895197
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,2,0.012370357021132905
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,2,-0.005273353662957021
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,2,-0.007842741253027224
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,2,0.013495980185366348
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,2,0.008052807775696814
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,3,-0.004884110044505143
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,3,0.0014245359972005114
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,3,0.00029306539989424984
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,3,-0.00016867351026808922
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,3,0.0002164477120948974
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,4,0.0006932967658039173
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,4,-0.0002743716013515399
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,4,7.660628874756929e-05
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,4,-4.697858131400329e-05
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,4,-0.00019283025450011297
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,5,-4.728473743314272e-05
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,5,5.8599541277530155e-05
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,5,-1.867890371491392e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,5,-1.4511965187483767e-05
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,5,6.46160408329626e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,6,5.678207258047845e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,6,-4.7906454698102616e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,6,9.935163956897501e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,6,5.637578198874744e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,6,1.7792182262654475e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,7,-1.5506387369301387e-06
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,7,1.951497190730815e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,7,-5.202099537954161e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,7,-4.016024481021106e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,7,5.2803714753910604e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,8,2.2312461818775724e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,8,-1.8220816829877055e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,8,1.1562079288588079e-07
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,8,-2.8863654844419373e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,8,-8.260244362199909e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,9,-6.386785482650883e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,9,6.757611951670124e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,9,-1.2612149011901397e-08
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,9,2.8386798034745646e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vnindex_return,9,8.463707766479889e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,vix_change,10,-1.9349939801070857e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,us10y_change,10,-1.278975442694495e-10
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,dxy_return,10,1.0301657867638042e-09
weekly_recursive_svar_shocks_to_fx_return,fx_return,fx_return,weekly_level_return,oil_change,10,1.02212828239195e-09
